DEBUG 2023-10-17 19:45:33,916 autoreload 379 File D:\python\Lib\email\feedparser.py first seen with mtime 1553520080.0
DEBUG 2023-10-17 19:45:33,916 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\contrib\staticfiles\checks.py first seen with mtime 1697503995.6418512
DEBUG 2023-10-17 19:45:33,917 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\utils\autoreload.py first seen with mtime 1697503995.9756057
DEBUG 2023-10-17 19:45:33,917 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\contrib\staticfiles\management\commands\__init__.py first seen with mtime 1697503995.648831
DEBUG 2023-10-17 19:45:33,917 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\contrib\auth\apps.py first seen with mtime 1697503991.1625767
DEBUG 2023-10-17 19:45:33,918 autoreload 379 File D:\python\Lib\unittest\suite.py first seen with mtime 1553520082.0
DEBUG 2023-10-17 19:45:33,918 autoreload 379 File D:\python\Lib\_weakrefset.py first seen with mtime 1553520080.0
DEBUG 2023-10-17 19:45:33,918 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\templatetags\i18n.py first seen with mtime 1697503995.9541843
DEBUG 2023-10-17 19:45:33,918 autoreload 379 File D:\python\Lib\encodings\__init__.py first seen with mtime 1553520080.0
DEBUG 2023-10-17 19:45:33,919 autoreload 379 File D:\python\Lib\email\contentmanager.py first seen with mtime 1553520080.0
DEBUG 2023-10-17 19:45:33,919 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\contrib\admin\checks.py first seen with mtime 1697503987.6470163
DEBUG 2023-10-17 19:45:33,919 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\views\debug.py first seen with mtime 1697503996.0156314
DEBUG 2023-10-17 19:45:33,920 autoreload 379 File D:\python\Lib\html\parser.py first seen with mtime 1553520082.0
DEBUG 2023-10-17 19:45:33,920 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\sqlparse\keywords.py first seen with mtime 1697164780.4598277
DEBUG 2023-10-17 19:45:33,920 autoreload 379 File D:\python\Lib\urllib\__init__.py first seen with mtime 1553520082.0
DEBUG 2023-10-17 19:45:33,921 autoreload 379 File D:\python\Lib\email\errors.py first seen with mtime 1553520080.0
DEBUG 2023-10-17 19:45:33,922 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\db\backends\base\creation.py first seen with mtime 1697503995.7508197
DEBUG 2023-10-17 19:45:33,922 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\contrib\sessions\backends\__init__.py first seen with mtime 1697503995.1456547
DEBUG 2023-10-17 19:45:33,922 autoreload 379 File D:\python\Lib\typing.py first seen with mtime 1553520082.0
DEBUG 2023-10-17 19:45:33,923 autoreload 379 File D:\python\Lib\locale.py first seen with mtime 1553520082.0
DEBUG 2023-10-17 19:45:33,923 autoreload 379 File D:\python\Lib\uu.py first seen with mtime 1553520082.0
DEBUG 2023-10-17 19:45:33,924 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\db\migrations\operations\__init__.py first seen with mtime 1697503995.8106272
DEBUG 2023-10-17 19:45:33,925 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\sqlparse\tokens.py first seen with mtime 1697164780.4618251
DEBUG 2023-10-17 19:45:33,926 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\db\models\__init__.py first seen with mtime 1697503995.8156123
DEBUG 2023-10-17 19:45:33,926 autoreload 379 File D:\python\Lib\concurrent\futures\_base.py first seen with mtime 1553520080.0
DEBUG 2023-10-17 19:45:33,927 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\utils\log.py first seen with mtime 1697503995.9976788
DEBUG 2023-10-17 19:45:33,927 autoreload 379 File D:\python\Lib\argparse.py first seen with mtime 1553520080.0
DEBUG 2023-10-17 19:45:33,927 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\utils\crypto.py first seen with mtime 1697503995.9791017
DEBUG 2023-10-17 19:45:33,928 autoreload 379 File D:\python\Lib\ipaddress.py first seen with mtime 1553520082.0
DEBUG 2023-10-17 19:45:33,928 autoreload 379 File D:\python\Lib\asyncio\base_events.py first seen with mtime 1553520080.0
DEBUG 2023-10-17 19:45:33,928 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\db\backends\base\__init__.py first seen with mtime 1697503995.748823
DEBUG 2023-10-17 19:45:33,929 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\utils\datastructures.py first seen with mtime 1697503995.9800992
DEBUG 2023-10-17 19:45:33,929 autoreload 379 File D:\python\DLLs\_asyncio.pyd first seen with mtime 1553523784.0
DEBUG 2023-10-17 19:45:33,930 autoreload 379 File D:\python\Lib\calendar.py first seen with mtime 1553520080.0
DEBUG 2023-10-17 19:45:33,930 autoreload 379 File D:\python\Lib\pprint.py first seen with mtime 1553520082.0
DEBUG 2023-10-17 19:45:33,930 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\core\cache\backends\__init__.py first seen with mtime 1697503995.6648748
DEBUG 2023-10-17 19:45:33,930 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\views\static.py first seen with mtime 1697503996.0176256
DEBUG 2023-10-17 19:45:33,931 autoreload 379 File D:\python\Lib\asyncio\format_helpers.py first seen with mtime 1553520080.0
DEBUG 2023-10-17 19:45:33,931 autoreload 379 File D:\python\Lib\asyncio\queues.py first seen with mtime 1553520080.0
DEBUG 2023-10-17 19:45:33,931 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\db\models\sql\subqueries.py first seen with mtime 1697503995.8563905
DEBUG 2023-10-17 19:45:33,932 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\contrib\sessions\models.py first seen with mtime 1697503995.1426609
DEBUG 2023-10-17 19:45:33,932 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\contrib\contenttypes\__init__.py first seen with mtime 1697503992.5602334
DEBUG 2023-10-17 19:45:33,932 autoreload 379 File D:\python\Lib\io.py first seen with mtime 1553520082.0
DEBUG 2023-10-17 19:45:33,933 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\db\transaction.py first seen with mtime 1697503995.743837
DEBUG 2023-10-17 19:45:33,933 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\contrib\auth\middleware.py first seen with mtime 1697503991.1798081
DEBUG 2023-10-17 19:45:33,933 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\views\generic\dates.py first seen with mtime 1697503996.0285969
DEBUG 2023-10-17 19:45:33,934 autoreload 379 File D:\python\Lib\_compression.py first seen with mtime 1553520080.0
DEBUG 2023-10-17 19:45:33,934 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\views\generic\detail.py first seen with mtime 1697503996.0295947
DEBUG 2023-10-17 19:45:33,934 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\db\backends\base\features.py first seen with mtime 1697503995.7518158
DEBUG 2023-10-17 19:45:33,934 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\template\loaders\app_directories.py first seen with mtime 1697503995.9481997
DEBUG 2023-10-17 19:45:33,935 autoreload 379 File D:\python\Lib\email\mime\nonmultipart.py first seen with mtime 1553520080.0
DEBUG 2023-10-17 19:45:33,935 autoreload 379 File D:\python\DLLs\unicodedata.pyd first seen with mtime 1553523802.0
DEBUG 2023-10-17 19:45:33,935 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\template\__init__.py first seen with mtime 1697503995.9298124
DEBUG 2023-10-17 19:45:33,936 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\utils\_os.py first seen with mtime 1697503995.9736116
DEBUG 2023-10-17 19:45:33,937 autoreload 379 File D:\python\Lib\decimal.py first seen with mtime 1553520080.0
DEBUG 2023-10-17 19:45:33,937 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\utils\safestring.py first seen with mtime 1697503996.001669
DEBUG 2023-10-17 19:45:33,938 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\cx_Oracle.cp37-win_amd64.pyd first seen with mtime 1697188677.666076
DEBUG 2023-10-17 19:45:33,938 autoreload 379 File D:\python\Lib\random.py first seen with mtime 1553520082.0
DEBUG 2023-10-17 19:45:33,938 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\contrib\admin\templatetags\base.py first seen with mtime 1697503988.912723
DEBUG 2023-10-17 19:45:33,939 autoreload 379 File D:\python\Lib\stat.py first seen with mtime 1553520082.0
DEBUG 2023-10-17 19:45:33,939 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\dispatch\__init__.py first seen with mtime 1697503995.858384
DEBUG 2023-10-17 19:45:33,939 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\urls\base.py first seen with mtime 1697503995.9676268
DEBUG 2023-10-17 19:45:33,940 autoreload 379 File D:\python\Lib\urllib\response.py first seen with mtime 1553520082.0
DEBUG 2023-10-17 19:45:33,940 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\utils\version.py first seen with mtime 1697503996.0076525
DEBUG 2023-10-17 19:45:33,941 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\http\response.py first seen with mtime 1697503995.9209878
DEBUG 2023-10-17 19:45:33,941 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\pytz\__init__.py first seen with mtime 1697164780.5416112
DEBUG 2023-10-17 19:45:33,942 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\shortcuts.py first seen with mtime 1697503986.801147
DEBUG 2023-10-17 19:45:33,943 autoreload 379 File D:\python\Lib\unittest\loader.py first seen with mtime 1553520082.0
DEBUG 2023-10-17 19:45:33,943 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\conf\global_settings.py first seen with mtime 1697503986.816105
DEBUG 2023-10-17 19:45:33,944 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\contrib\messages\middleware.py first seen with mtime 1697503994.5971558
DEBUG 2023-10-17 19:45:33,944 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\db\backends\base\validation.py first seen with mtime 1697503995.7582264
DEBUG 2023-10-17 19:45:33,945 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\middleware\csrf.py first seen with mtime 1697503995.9258187
DEBUG 2023-10-17 19:45:33,945 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\contrib\messages\apps.py first seen with mtime 1697503994.5941648
DEBUG 2023-10-17 19:45:33,946 autoreload 379 File D:\python\Lib\token.py first seen with mtime 1553520082.0
DEBUG 2023-10-17 19:45:33,946 autoreload 379 File D:\python\Lib\_collections_abc.py first seen with mtime 1553520080.0
DEBUG 2023-10-17 19:45:33,946 autoreload 379 File D:\python\Lib\gzip.py first seen with mtime 1553520082.0
DEBUG 2023-10-17 19:45:33,947 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\contrib\admin\filters.py first seen with mtime 1697503987.6549945
DEBUG 2023-10-17 19:45:33,947 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\db\backends\base\operations.py first seen with mtime 1697503995.7542357
DEBUG 2023-10-17 19:45:33,947 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\db\models\functions\comparison.py first seen with mtime 1697503995.8437185
DEBUG 2023-10-17 19:45:33,948 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\db\backends\oracle\client.py first seen with mtime 1697503995.773371
DEBUG 2023-10-17 19:45:33,948 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\core\checks\database.py first seen with mtime 1697503995.6738508
DEBUG 2023-10-17 19:45:33,949 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\db\models\constraints.py first seen with mtime 1697503995.8207748
DEBUG 2023-10-17 19:45:33,949 autoreload 379 File D:\python\Lib\gettext.py first seen with mtime 1553520082.0
DEBUG 2023-10-17 19:45:33,949 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\contrib\sessions\backends\base.py first seen with mtime 1697503995.146652
DEBUG 2023-10-17 19:45:33,949 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\core\mail\message.py first seen with mtime 1697503995.7000332
DEBUG 2023-10-17 19:45:33,950 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\forms\boundfield.py first seen with mtime 1697503995.8613763
DEBUG 2023-10-17 19:45:33,950 autoreload 379 File D:\python\Lib\wsgiref\simple_server.py first seen with mtime 1553520082.0
DEBUG 2023-10-17 19:45:33,950 autoreload 379 File D:\python\Lib\importlib\__init__.py first seen with mtime 1553520082.0
DEBUG 2023-10-17 19:45:33,951 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\core\checks\messages.py first seen with mtime 1697503995.6748478
DEBUG 2023-10-17 19:45:33,952 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\db\models\functions\window.py first seen with mtime 1697503995.8487034
DEBUG 2023-10-17 19:45:33,953 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\contrib\staticfiles\management\__init__.py first seen with mtime 1697503995.6478336
DEBUG 2023-10-17 19:45:33,953 autoreload 379 File D:\python\Lib\html\entities.py first seen with mtime 1553520082.0
DEBUG 2023-10-17 19:45:33,954 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\utils\duration.py first seen with mtime 1697503995.9880784
DEBUG 2023-10-17 19:45:33,954 autoreload 379 File D:\python\Lib\wsgiref\util.py first seen with mtime 1553520082.0
DEBUG 2023-10-17 19:45:33,954 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\db\backends\base\base.py first seen with mtime 1697503995.7498212
DEBUG 2023-10-17 19:45:33,955 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\utils\deconstruct.py first seen with mtime 1697503995.9850862
